team_home,team_away,date,odds1,oddsX,odds2,result
Bologna,Sampdoria,2025-02-19,2.61,2.82,2.37,X
Real Sociedad,Athletic Bilbao,2025-03-14,1.52,2.79,1.74,X
Boca Juniors,River Plate,2025-02-20,2.92,3.28,2.69,2
Vélez Sarsfield,Boca Juniors,2025-04-17,2.43,3.38,1.93,?
Bayern Munich,Borussia Dortmund,2025-03-12,3.12,2.93,2.38,2
Monza,Spezia,2025-04-12,2.48,3.25,1.87,?
Bologna,Sampdoria,2025-04-03,1.81,2.58,2.42,?
Lazio,Inter,2025-03-06,2.19,2.99,2.51,2
Fiorentina,Atalanta,2025-02-25,3.37,2.84,3.37,X
AC Milan,Juventus,2025-04-13,3.31,3.29,2.29,?
Arsenal,Tottenham,2025-03-14,3.3,3.23,2.71,X
Juventus,Roma,2025-03-04,2.44,2.66,2.5,X
Flamengo,Vasco da Gama,2025-03-09,2.27,3.07,2.03,X
Palmeiras,São Paulo,2025-03-12,1.98,2.67,3.07,2
Parma,Verona,2025-04-16,2.81,3.07,2.9,?
Bayern Munich,Borussia Dortmund,2025-02-17,2.42,2.94,3.03,1
RB Leipzig,Wolfsburg,2025-03-13,1.93,3.29,3.05,X
AC Milan,Juventus,2025-04-10,2.39,3.33,1.98,?
Lazio,Fiorentina,2025-03-19,2.91,2.62,2.61,?
Monza,Spezia,2025-03-24,2.94,3.1,3.45,?
Juventus,Roma,2025-04-12,2.55,3.3,2.73,?
Flamengo,Vasco da Gama,2025-04-16,1.76,3.33,2.62,?
Parma,Verona,2025-02-27,3.14,2.54,1.94,2
Real Sociedad,Athletic Bilbao,2025-03-15,2.75,2.84,2.87,2
Lazio,Inter,2025-04-14,2.56,3.2,2.47,?
Celtic,Rangers,2025-03-02,3.14,2.85,1.59,1
Palmeiras,São Paulo,2025-03-22,2.58,2.92,3.21,?
Fluminense,Sao Paulo,2025-02-24,2.91,3.3,2.73,1
Sevilla,Real Betis,2025-02-17,1.63,3.23,2.27,X
Fiorentina,Atalanta,2025-03-04,2.86,2.86,2.22,2
Bologna,Sampdoria,2025-04-15,1.67,3.24,2.81,?
Persebaya,Arema FC,2025-04-03,2.38,2.76,2.38,?
Villarreal,Real Betis,2025-03-22,2.02,3.48,2.82,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-16,2.44,2.83,1.81,X
Manchester City,Chelsea,2025-03-31,1.81,2.53,1.9,?
Torino,Cagliari,2025-02-20,1.54,3.01,1.51,1
Roma,Napoli,2025-03-30,3.15,2.86,2.6,?
Roma,Napoli,2025-03-22,1.71,3.35,2.7,?
Benfica,Portimonense,2025-02-18,2.2,2.95,1.59,X
Bayer Leverkusen,Bayern Munich,2025-02-26,2.6,2.79,2.39,X
Celtic,Rangers,2025-02-19,1.84,3.25,1.82,2
Arsenal,Tottenham,2025-04-02,3.5,3.19,2.95,?
FC Porto,Sporting CP,2025-03-10,2.4,3.09,1.8,X
FC Porto,Sporting CP,2025-03-03,3.42,3.22,2.49,1
Atlético Madrid,Sevilla,2025-03-24,2.12,2.52,2.08,?
Marseille,Nice,2025-03-08,3.48,2.5,2.35,2
Bayer Leverkusen,Bayern Munich,2025-04-06,3.15,3.2,3.09,?
São Paulo,Internacional,2025-04-01,2.13,3.18,1.5,?
RB Leipzig,Wolfsburg,2025-03-13,2.93,2.51,2.46,2
FC Porto,Sporting CP,2025-02-23,2.95,2.77,3.19,1
Hellas Verona,Torino,2025-03-30,2.83,2.63,3.49,?
AC Milan,Juventus,2025-04-02,2.21,3.45,2.62,?
Hellas Verona,Torino,2025-03-21,2.76,2.63,2.78,?
Santos,Gremio,2025-03-16,3.39,2.57,3.12,2
Monza,Spezia,2025-04-11,2.81,3.34,1.64,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-02,2.25,3.48,1.69,2
Marseille,Nice,2025-04-09,1.73,3.46,1.79,?
Santos,Gremio,2025-04-17,1.76,3.49,1.81,?
VfB Stuttgart,Borussia Dortmund,2025-03-21,2.77,3.13,3.03,?
Barcelona,Real Madrid,2025-03-14,1.91,3.19,2.42,X
Sassuolo,Empoli,2025-04-11,3.38,3.1,2.82,?
Real Madrid,Valencia,2025-03-08,1.59,3.27,3.46,X
Lyon,Lille,2025-04-11,1.57,2.93,2.49,?
RB Leipzig,Wolfsburg,2025-03-17,2.92,2.79,2.1,2
Everton,Newcastle United,2025-04-14,1.64,3.0,2.6,?
Lyon,Lille,2025-04-04,2.12,2.62,3.22,?
Palmeiras,São Paulo,2025-03-07,2.92,3.44,1.91,1
Paris Saint-Germain,Marseille,2025-04-17,3.01,3.29,2.08,?
Tottenham,West Ham United,2025-02-24,1.7,2.85,2.53,2
Chelsea,Liverpool,2025-04-01,2.15,2.89,1.56,?
Benfica,Portimonense,2025-02-20,1.69,2.6,3.05,1
Real Madrid,Valencia,2025-03-01,2.6,3.04,3.04,X
Borussia Monchengladbach,Eintracht Frankfurt,2025-02-20,1.58,2.66,2.46,X
Sassuolo,Empoli,2025-04-02,2.64,2.93,2.14,?
Valencia,Villarreal,2025-03-03,2.03,3.26,2.14,X
Benfica,Portimonense,2025-03-23,2.13,3.45,2.62,?
Corinthians,Fluminense,2025-03-22,1.74,3.43,1.55,?
Corinthians,Flamengo,2025-02-23,2.71,3.03,2.2,1
Everton,Newcastle United,2025-03-17,2.2,3.15,3.06,X
Rangers,Aberdeen,2025-02-20,2.44,3.19,2.15,2
Lazio,Inter,2025-03-21,2.12,3.24,2.58,?
Fluminense,Sao Paulo,2025-03-16,2.35,3.04,2.97,1
Real Madrid,Valencia,2025-03-27,1.7,2.75,2.28,?
RB Leipzig,Wolfsburg,2025-02-24,3.11,2.51,2.08,2
Rangers,Aberdeen,2025-04-01,3.24,2.81,2.84,?
Flamengo,Vasco da Gama,2025-04-11,2.94,2.83,2.86,?
Juventus,Roma,2025-03-03,1.96,2.94,3.38,2
Boca Juniors,River Plate,2025-04-07,2.88,3.46,2.43,?
Flamengo,Vasco da Gama,2025-04-11,3.08,2.68,2.64,?
Fluminense,Sao Paulo,2025-03-20,3.29,2.74,2.21,?
Everton,Newcastle United,2025-02-23,2.26,3.04,2.05,X
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-21,2.2,2.74,1.77,?
Maritimo,Boavista,2025-04-09,2.17,2.76,2.94,?
Barcelona,Real Madrid,2025-03-21,2.98,3.22,3.25,?
Everton,Newcastle United,2025-04-04,2.19,3.2,3.05,?
Udinese,Salernitana,2025-03-07,2.82,2.71,2.25,1
Villarreal,Real Betis,2025-03-21,2.12,3.17,1.62,?
Roma,Napoli,2025-03-21,1.65,3.04,2.26,?
Leeds United,Aston Villa,2025-03-02,2.85,2.52,2.03,X
Manchester United,Manchester City,2025-03-26,2.98,3.09,2.27,?
Santos,Gremio,2025-04-16,3.49,3.22,1.93,?
Barcelona,Real Madrid,2025-04-14,1.62,2.91,3.29,?
AC Milan,Juventus,2025-03-05,2.98,2.96,3.27,2
FC Porto,Sporting CP,2025-03-21,3.16,2.78,1.68,?
Paris Saint-Germain,Marseille,2025-02-22,1.64,3.04,2.59,1
Persebaya,Arema FC,2025-03-13,2.77,3.25,2.73,1
Hellas Verona,Torino,2025-03-10,2.72,2.65,2.3,1
Roma,Napoli,2025-03-16,2.04,2.84,2.7,X
Sevilla,Real Betis,2025-04-08,2.9,3.24,2.02,?
Juventus,Roma,2025-03-11,1.75,2.67,3.17,2
Paris Saint-Germain,Marseille,2025-04-03,2.96,3.35,2.74,?
Barcelona,Real Madrid,2025-04-05,2.52,3.37,1.6,?
Celtic,Rangers,2025-03-25,2.67,3.33,2.81,?
Milan,Inter,2025-03-02,3.02,2.55,1.91,2
Sassuolo,Empoli,2025-04-12,2.31,2.73,2.85,?
Juventus,Roma,2025-03-13,2.58,2.96,1.76,X
Barcelona,Real Madrid,2025-03-22,3.21,2.66,2.43,?
Barcelona,Atletico Madrid,2025-02-21,2.06,2.58,2.9,1
Persebaya,Arema FC,2025-02-25,2.7,3.2,2.99,2
Bayer Leverkusen,Bayern Munich,2025-04-09,2.75,2.55,2.18,?
Parma,Verona,2025-04-11,2.34,3.32,2.12,?
Lyon,Lille,2025-03-27,3.15,3.38,1.86,?
Lyon,Lille,2025-02-26,2.8,3.47,3.19,X
Roma,Napoli,2025-03-30,1.65,3.31,1.8,?
Sevilla,Real Betis,2025-04-06,1.85,2.88,1.9,?
Villarreal,Real Betis,2025-04-11,2.68,3.34,2.25,?
Flamengo,Vasco da Gama,2025-04-10,2.11,2.61,2.76,?
Leeds United,Aston Villa,2025-04-06,2.2,3.28,3.38,?
Lazio,Fiorentina,2025-04-14,2.57,3.28,1.78,?
Lazio,Fiorentina,2025-04-11,1.51,3.35,3.08,?
Everton,Newcastle United,2025-02-23,2.03,2.55,2.5,1
Napoli,Lazio,2025-03-29,1.67,3.39,2.96,?
Lazio,Fiorentina,2025-02-26,3.1,3.02,2.72,X
Sassuolo,Empoli,2025-02-28,2.61,2.87,2.01,1
Rangers,Aberdeen,2025-03-19,2.45,2.59,2.92,?
Bologna,Sampdoria,2025-03-24,1.56,3.45,2.93,?
Juventus,Roma,2025-04-14,3.37,2.95,2.15,?
Parma,Verona,2025-03-10,2.29,2.57,3.12,1
Tottenham,West Ham United,2025-02-28,2.39,2.74,1.8,X
Corinthians,Flamengo,2025-02-25,2.63,3.26,1.9,X
Monza,Spezia,2025-03-03,2.97,2.73,2.23,2
Arsenal,Tottenham,2025-04-04,2.31,2.69,2.44,?
Atlético Madrid,Sevilla,2025-04-08,2.82,2.81,3.12,?
Everton,Newcastle United,2025-03-10,3.01,2.9,3.47,X
Flamengo,Vasco da Gama,2025-04-01,2.21,3.38,3.12,?
Bayer Leverkusen,Bayern Munich,2025-03-05,2.44,3.29,2.03,X
Parma,Verona,2025-02-18,2.92,2.75,1.7,X
Bayern Munich,Borussia Dortmund,2025-03-12,2.21,2.79,2.58,2
Barcelona,Real Madrid,2025-02-21,1.81,3.46,1.78,1
Maritimo,Boavista,2025-03-08,1.66,3.24,3.26,1
Santos,Gremio,2025-04-05,3.12,3.15,2.48,?
Fluminense,Sao Paulo,2025-02-22,2.38,2.96,2.18,1
Napoli,Lazio,2025-03-01,1.61,3.49,3.05,X
AC Milan,Juventus,2025-03-22,2.61,2.99,1.96,?
Benfica,Portimonense,2025-04-08,2.54,2.57,2.35,?
Maritimo,Boavista,2025-02-16,1.71,2.84,2.99,2
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-01,2.3,3.21,1.68,?
Villarreal,Real Betis,2025-02-16,2.0,2.87,3.23,X
Rangers,Aberdeen,2025-04-14,3.08,3.16,2.16,?
Bayer Leverkusen,Bayern Munich,2025-03-24,1.77,2.86,3.13,?
Manchester City,Chelsea,2025-03-22,3.49,2.56,1.97,?
Real Sociedad,Athletic Bilbao,2025-03-31,2.92,3.02,1.58,?
Palmeiras,São Paulo,2025-03-03,3.49,3.21,3.17,X
Real Madrid,Valencia,2025-04-04,1.86,2.82,1.93,?
RB Leipzig,Wolfsburg,2025-03-10,2.76,3.45,2.23,1
Sevilla,Real Betis,2025-03-02,2.37,3.17,2.78,2
Paris Saint-Germain,Marseille,2025-04-01,3.22,3.4,3.0,?
Corinthians,Fluminense,2025-02-25,1.88,3.34,2.67,X
PSG,Lyon,2025-04-12,3.04,2.7,3.01,?
Corinthians,Flamengo,2025-04-10,2.8,3.41,1.95,?
Flamengo,Vasco da Gama,2025-04-08,1.96,3.06,3.27,?
Persebaya,Arema FC,2025-04-01,3.22,2.6,2.81,?
FC Porto,Sporting CP,2025-03-20,2.03,3.39,3.02,?
Boca Juniors,River Plate,2025-02-28,2.46,2.93,3.25,2
Udinese,Salernitana,2025-04-11,3.31,3.06,2.76,?
Chelsea,Liverpool,2025-03-11,1.78,3.48,2.74,1
Parma,Verona,2025-04-15,2.2,2.99,2.78,?
Corinthians,Flamengo,2025-04-15,3.05,3.18,2.28,?
Benfica,Portimonense,2025-04-11,3.02,3.29,3.0,?
Flamengo,Vasco da Gama,2025-02-26,3.31,3.33,3.38,2
Vélez Sarsfield,Boca Juniors,2025-03-17,2.06,3.06,1.56,X
Parma,Verona,2025-04-13,1.68,3.38,1.71,?
Benfica,Portimonense,2025-03-08,2.83,2.56,3.17,X
FC Porto,Sporting CP,2025-03-19,1.97,2.56,1.53,?
Bologna,Sampdoria,2025-02-22,1.81,2.6,3.0,1
Fiorentina,Atalanta,2025-03-08,2.88,3.1,2.39,2
Persebaya,Arema FC,2025-03-15,1.71,3.03,1.94,2
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-11,2.21,2.66,2.92,?
Udinese,Salernitana,2025-03-11,2.45,3.33,2.59,1
Juventus,Roma,2025-04-14,2.73,3.41,1.56,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-19,2.4,2.68,2.04,?
AC Milan,Napoli,2025-03-09,2.14,3.16,1.67,2
Lyon,Lille,2025-03-09,2.96,2.79,1.81,1
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-11,2.0,3.38,2.19,?
Manchester United,Manchester City,2025-04-06,2.71,3.13,1.9,?
Barcelona,Real Madrid,2025-03-12,1.77,2.59,2.34,1
Paris Saint-Germain,Marseille,2025-03-24,2.06,2.75,2.96,?
Boca Juniors,River Plate,2025-03-25,3.45,3.19,2.03,?
Corinthians,Fluminense,2025-04-17,3.46,2.94,3.31,?
Barcelona,Atletico Madrid,2025-02-19,2.1,2.96,1.59,1
São Paulo,Internacional,2025-03-25,3.13,3.06,2.67,?
Torino,Cagliari,2025-02-28,2.74,3.18,2.56,1
Persebaya,Arema FC,2025-02-16,2.5,3.0,1.76,1
Torino,Cagliari,2025-03-21,1.95,2.5,2.21,?
Barcelona,Real Madrid,2025-04-11,2.54,3.5,2.61,?
Roma,Napoli,2025-03-01,3.09,3.29,2.0,2
Real Madrid,Valencia,2025-03-13,2.49,3.19,2.7,2
Hellas Verona,Torino,2025-04-14,3.4,3.46,2.82,?
FC Porto,Sporting CP,2025-03-23,2.52,3.03,2.24,?
Atlético Madrid,Sevilla,2025-03-11,3.0,2.6,1.76,X
Valencia,Villarreal,2025-03-29,3.35,2.52,1.94,?
Everton,Newcastle United,2025-04-09,2.91,2.73,2.74,?
Monza,Spezia,2025-02-22,2.16,3.24,1.85,X
Palmeiras,Corinthians,2025-04-02,2.22,2.91,1.88,?
Real Sociedad,Athletic Bilbao,2025-03-02,1.82,3.09,3.06,2
Leeds United,Aston Villa,2025-03-21,3.23,3.46,2.7,?
AC Milan,Juventus,2025-03-21,3.4,3.38,1.88,?
Juventus,Roma,2025-02-27,1.67,3.01,3.46,X
Hellas Verona,Torino,2025-04-15,3.31,3.24,2.36,?
Corinthians,Fluminense,2025-04-05,1.88,2.7,3.29,?
Benfica,Portimonense,2025-02-23,2.22,2.76,2.89,X
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-14,2.62,3.25,1.87,?
VfB Stuttgart,Borussia Dortmund,2025-02-28,3.17,2.86,2.97,1
AC Milan,Juventus,2025-03-23,1.71,2.53,3.18,?
Napoli,Lazio,2025-03-27,2.72,2.67,3.21,?
Hellas Verona,Torino,2025-03-24,1.78,2.54,3.14,?
Santos,Gremio,2025-04-07,1.89,2.82,1.59,?
PSG,Lyon,2025-03-06,2.48,3.07,1.53,X
Juventus,Roma,2025-03-23,2.11,3.09,2.21,?
Barcelona,Atletico Madrid,2025-03-09,3.5,2.61,1.9,1
Vélez Sarsfield,Boca Juniors,2025-04-06,1.53,3.38,1.92,?
Benfica,Portimonense,2025-03-03,3.09,2.51,3.39,1
Sevilla,Real Betis,2025-03-21,1.73,2.75,3.32,?
Villarreal,Real Betis,2025-04-05,2.59,3.01,1.7,?
Udinese,Salernitana,2025-03-06,3.28,2.54,2.35,X
Paris Saint-Germain,Marseille,2025-03-03,1.92,3.01,2.57,2
Boca Juniors,River Plate,2025-04-10,3.37,2.58,3.34,?
Udinese,Salernitana,2025-02-27,2.05,3.44,2.85,2
Corinthians,Flamengo,2025-03-12,3.27,2.89,2.2,X
Sassuolo,Empoli,2025-03-07,2.94,3.05,2.92,1
Manchester United,Manchester City,2025-04-16,2.54,2.71,3.25,?
Marseille,Nice,2025-03-02,1.63,3.17,3.04,1
Lazio,Inter,2025-04-17,1.95,2.62,1.52,?
Real Madrid,Valencia,2025-03-28,1.74,2.9,2.08,?
Corinthians,Fluminense,2025-04-08,3.21,3.23,1.82,?
Tottenham,West Ham United,2025-03-27,1.88,3.41,1.74,?
Bayer Leverkusen,Bayern Munich,2025-03-28,3.09,3.03,1.94,?
Benfica,Portimonense,2025-04-09,3.33,3.42,2.56,?
Rangers,Aberdeen,2025-03-29,2.43,3.02,2.09,?
Everton,Newcastle United,2025-04-11,3.12,2.7,1.56,?
Persebaya,Arema FC,2025-03-26,1.67,2.83,3.02,?
AC Milan,Napoli,2025-04-16,1.72,3.03,2.79,?
Sevilla,Real Betis,2025-03-09,2.76,2.63,1.73,1
Real Madrid,Valencia,2025-04-16,2.17,3.11,2.73,?
Atlético Madrid,Sevilla,2025-03-06,3.44,3.41,3.42,1
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-07,1.71,3.28,3.28,?
Barcelona,Real Madrid,2025-03-23,2.43,2.72,3.41,?
Torino,Cagliari,2025-03-14,2.29,2.66,3.39,X
Leeds United,Aston Villa,2025-02-20,1.75,3.24,2.04,2
Monza,Spezia,2025-03-08,1.78,2.64,1.86,2
Celtic,Rangers,2025-03-01,2.66,2.53,2.44,1
PSG,Lyon,2025-03-09,3.12,3.38,3.08,1
Sevilla,Real Betis,2025-04-04,3.35,3.29,2.68,?
Everton,Newcastle United,2025-03-19,3.37,3.16,2.19,?
Roma,Napoli,2025-03-28,2.03,3.04,2.2,?
PSG,Lyon,2025-03-14,1.67,3.17,3.09,X
São Paulo,Internacional,2025-03-23,2.24,2.59,2.51,?
RB Leipzig,Wolfsburg,2025-04-07,3.27,2.63,2.53,?
Manchester City,Chelsea,2025-03-07,1.63,3.32,3.11,2
Manchester City,Chelsea,2025-04-17,2.6,2.57,3.32,?
Chelsea,Liverpool,2025-02-19,3.31,3.03,2.36,1
Santos,Gremio,2025-03-17,3.38,2.94,2.09,X
AC Milan,Juventus,2025-04-07,3.5,3.14,1.74,?
Sevilla,Real Betis,2025-04-15,2.14,3.08,2.58,?
Persebaya,Arema FC,2025-03-15,2.8,2.66,1.68,X
Rangers,Aberdeen,2025-03-08,1.61,2.85,1.97,1
Fiorentina,Atalanta,2025-02-18,1.65,3.43,2.95,X
Arsenal,Tottenham,2025-03-21,3.07,3.11,1.75,?
Real Madrid,Valencia,2025-02-20,2.99,2.91,2.9,1
Leeds United,Aston Villa,2025-04-16,1.94,3.26,2.52,?
Parma,Verona,2025-04-12,2.57,3.3,2.88,?
VfB Stuttgart,Borussia Dortmund,2025-04-12,2.54,2.79,2.15,?
Manchester United,Manchester City,2025-03-17,2.64,3.37,2.86,2
Torino,Cagliari,2025-04-01,2.43,3.25,3.2,?
Everton,Newcastle United,2025-04-14,2.49,3.36,3.43,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-05,2.15,2.69,2.49,?
Everton,Newcastle United,2025-02-19,3.2,3.11,2.8,1
Celtic,Rangers,2025-04-07,2.0,3.27,2.46,?
Sevilla,Real Betis,2025-02-26,2.24,2.99,2.92,X
Barcelona,Atletico Madrid,2025-03-08,2.56,2.57,2.75,1
Valencia,Villarreal,2025-03-29,2.69,2.88,3.27,?
AC Milan,Napoli,2025-04-12,3.07,2.63,2.37,?
Maritimo,Boavista,2025-02-24,2.46,3.11,3.16,1
Udinese,Salernitana,2025-02-23,3.26,3.39,2.45,1
PSG,Lyon,2025-02-24,1.99,3.04,2.54,X
Atlético Madrid,Sevilla,2025-04-07,2.89,2.68,3.12,?
Palmeiras,Corinthians,2025-03-03,1.85,2.79,3.37,1
AC Milan,Juventus,2025-02-28,2.58,2.83,2.77,X
Benfica,Portimonense,2025-03-21,3.46,3.28,1.88,?
Fiorentina,Atalanta,2025-03-30,2.05,2.76,2.9,?
São Paulo,Internacional,2025-04-10,2.99,2.91,3.39,?
Manchester City,Chelsea,2025-04-01,1.61,3.42,2.32,?
Parma,Verona,2025-04-01,2.24,3.47,2.62,?
Parma,Verona,2025-02-27,2.54,3.17,2.1,X
Chelsea,Liverpool,2025-03-27,3.32,3.47,3.2,?
AC Milan,Juventus,2025-02-27,2.88,3.07,2.72,2
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-13,1.73,2.76,1.53,?
Valencia,Villarreal,2025-03-03,2.98,3.02,1.99,2
RB Leipzig,Wolfsburg,2025-03-20,3.2,2.79,2.48,?
Chelsea,Liverpool,2025-04-10,2.88,2.97,1.73,?
Santos,Gremio,2025-03-28,2.33,2.95,3.35,?
Marseille,Nice,2025-03-06,2.41,2.53,3.22,2
Parma,Verona,2025-03-29,3.08,3.4,2.21,?
Real Sociedad,Athletic Bilbao,2025-04-07,2.28,3.27,1.76,?
Milan,Inter,2025-02-21,2.85,3.02,3.18,X
Fiorentina,Atalanta,2025-03-02,2.73,2.58,2.4,X
AC Milan,Juventus,2025-02-21,2.94,3.0,1.86,1
Lazio,Inter,2025-02-21,2.49,3.0,2.99,1
Udinese,Salernitana,2025-02-23,2.26,3.41,2.19,1
Chelsea,Liverpool,2025-02-26,3.16,2.78,3.07,X
Real Madrid,Valencia,2025-03-25,2.32,2.74,3.4,?
Maritimo,Boavista,2025-03-27,1.98,2.81,2.98,?
Atlético Madrid,Sevilla,2025-04-04,3.38,2.54,2.59,?
Sassuolo,Empoli,2025-04-01,2.51,2.74,3.31,?
Hellas Verona,Torino,2025-04-05,3.44,2.79,2.62,?
AC Milan,Juventus,2025-04-04,2.19,2.61,2.19,?
Palmeiras,Corinthians,2025-04-10,1.88,3.29,2.89,?
Bayern Munich,Borussia Dortmund,2025-02-17,2.14,3.46,3.37,2
Real Sociedad,Athletic Bilbao,2025-04-16,2.55,3.09,2.85,?
Fluminense,Sao Paulo,2025-03-15,2.93,3.29,1.58,1
Torino,Cagliari,2025-03-09,2.76,2.69,1.8,2
